id evid eventtype origintime
210278 37911208 blast 2017-06-16T20:05:19.670000Z
134268 37407722 blast 2018-10-29T17:06:19.760000Z
173484 37653055 blast 2017-05-23T18:12:21.000000Z
156213 37560680 blast 2016-05-06T18:48:38.170000Z
310939 39664320 blast 2020-10-15T18:14:13.610000Z
194451 37783608 blast 2017-01-10T22:18:52.120000Z
169538 37640783 blast 2017-05-05T18:03:47.380000Z
281452 39089519 blast 2020-03-03T17:50:26.030000Z
131508 37397402 blast 2018-10-18T18:32:10.140000Z
208743 37905455 blast 2018-04-02T16:51:12.520000Z
201912 37848992 blast 2017-04-04T17:27:01.960000Z
289327 39234000 blast 2019-12-18T00:24:17.680000Z
157528 37569008 blast 2016-05-16T19:22:56.670000Z
180641 37703103 blast 2017-07-14T19:11:46.400000Z
75719 37185356 blast 2018-04-26T16:27:29.090000Z
253358 38420648 blast 2019-01-09T19:52:33.300000Z
210373 37911847 blast 2018-04-09T23:35:54.280000Z
159381 37574736 blast 2016-05-25T18:45:48.730000Z
309700 39653416 blast 2020-10-05T19:31:44.800000Z
209348 37907431 blast 2018-04-04T16:56:48.390000Z
156541 37562816 blast 2016-05-09T23:45:31.890000Z
156398 37562424 blast 2016-05-09T17:06:28.110000Z
186226 37728687 blast 2017-08-08T18:01:42.960000Z
259378 38508823 blast 2019-07-09T23:29:07.720000Z
261843 38592960 blast 2019-05-13T23:21:42.750000Z
147607 37516791 blast 2016-11-02T23:31:48.670000Z
160723 37579712 blast 2016-05-31T20:33:48.770000Z
284826 39201943 blast 2020-05-15T19:30:32.440000Z
255410 38435207 blast 2019-06-28T19:09:22.330000Z
156419 37562424 blast 2016-05-09T17:06:28.110000Z
232375 38165727 blast 2018-12-17T23:30:21.260000Z
257200 38478488 blast 2019-02-28T17:33:29.610000Z
252911 38415672 blast 2019-01-03T19:53:41.850000Z
300721 39456975 blast 2020-11-04T22:19:42.470000Z
204862 37863152 blast 2017-04-21T16:24:49.220000Z
152265 37535522 blast 2019-02-19T23:39:39.100000Z
165189 37612000 blast 2016-06-24T17:41:27.070000Z
256995 38476672 blast 2019-02-27T19:40:10.600000Z
277218 38972288 blast 2019-08-15T17:00:19.990000Z
277068 38961448 blast 2019-08-12T23:19:00.790000Z
123748 37368991 blast 2016-06-03T19:30:29.960000Z
291085 39283503 blast 2020-07-07T23:22:15.730000Z
198438 37823463 blast 2017-12-05T20:14:14.240000Z
289336 39234000 blast 2019-12-18T00:24:17.680000Z
215389 37958175 blast 2018-06-06T19:46:51.880000Z
192281 37765568 blast 2016-12-15T17:48:58.990000Z
205273 37867344 blast 2017-04-26T17:16:08.400000Z
188911 37746592 blast 2016-11-21T20:20:08.060000Z
296881 39362719 blast 2020-08-27T22:34:04.910000Z
294317 39331871 blast 2020-08-05T18:54:08.550000Z
188564 37743336 blast 2016-11-17T18:30:29.970000Z
307078 39494160 blast 2020-06-24T18:31:05.350000Z
256350 38469912 blast 2019-02-22T21:29:31.360000Z
157648 37569016 blast 2016-05-16T19:39:14.000000Z
223117 38040319 blast 2018-08-29T23:18:31.100000Z
257158 38478488 blast 2019-02-28T17:33:29.610000Z
170963 37643959 blast 2017-05-11T18:59:26.400000Z
201920 37848992 blast 2017-04-04T17:27:01.960000Z
289701 39271703 blast 2020-06-28T23:23:10.740000Z
232244 38164712 blast 2018-05-04T20:05:02.020000Z
243611 38260815 blast 2019-03-08T20:16:34.180000Z
296897 39362831 blast 2020-08-27T23:48:24.330000Z
266662 38626896 blast 2019-06-06T16:20:18.510000Z
268800 38650856 blast 2019-06-19T18:32:16.930000Z
167035 37622344 blast 2016-07-06T19:04:36.230000Z
236081 38215583 blast 2019-02-01T18:20:12.910000Z
157664 37569512 blast 2016-05-17T17:08:34.650000Z
181909 37708071 blast 2017-07-20T19:13:28.840000Z
266905 38629888 blast 2019-06-07T18:53:27.210000Z
266649 38626896 blast 2019-06-06T16:20:18.510000Z
254025 38422431 blast 2019-06-19T21:15:34.080000Z
266609 38626896 blast 2019-06-06T16:20:18.510000Z
159098 37574079 blast 2017-01-26T20:42:44.920000Z
147586 37516791 blast 2016-11-02T23:31:48.670000Z
126947 37379583 blast 2016-06-10T18:23:48.200000Z
229358 38114576 blast 2018-02-23T23:27:00.640000Z
147587 37516791 blast 2016-11-02T23:31:48.670000Z
260392 38548392 blast 2019-04-16T18:57:33.900000Z
222155 38034288 blast 2017-10-31T23:30:23.440000Z
175801 37665607 blast 2017-06-08T22:46:52.900000Z
124769 37373335 blast 2016-06-08T19:25:39.670000Z
151332 37529378 blast 2019-02-12T17:49:34.910000Z
210950 37914784 blast 2017-06-20T23:24:50.000000Z
305191 39482287 blast 2020-12-01T20:58:21.650000Z
212686 37922511 blast 2018-04-24T20:19:19.380000Z
172850 37649391 blast 2017-05-19T22:18:10.110000Z
210091 37910144 blast 2017-06-15T17:32:51.580000Z
126511 37378370 blast 2018-10-03T20:39:29.870000Z
307126 39494160 blast 2020-06-24T18:31:05.350000Z
232554 38167272 blast 2018-05-07T19:09:19.770000Z
122563 37365799 blast 2016-06-01T19:33:04.870000Z
187475 37735319 blast 2017-08-14T22:03:41.260000Z
126401 37378362 blast 2018-10-03T20:42:06.590000Z
224413 38057111 blast 2018-09-11T21:10:48.880000Z
157048 37566272 blast 2016-05-13T00:31:53.130000Z
78048 37200756 blast 2018-11-13T17:01:49.090000Z
156856 37565960 blast 2016-05-12T19:30:21.400000Z
156791 37565824 blast 2016-05-12T18:48:15.280000Z
212266 37921543 blast 2018-04-23T22:36:04.760000Z
167653 37636672 blast 2016-07-21T18:26:59.200000Z
1664576 38667543 quake 2019-07-29T18:49:10.410000Z
1834045 39122351 quake 2020-03-31T13:50:02.850000Z
1754329 38991400 quake 2019-08-21T09:57:59.750000Z
1781074 39022440 quake 2019-08-29T16:19:18.970000Z
1517034 38508439 quake 2019-07-09T22:55:57.960000Z
2019730 39653184 quake 2020-10-05T15:45:57.840000Z
1778262 39019975 quake 2020-01-01T17:23:05.770000Z
828346 37319404 quake 2020-10-01T01:19:47.040000Z
2014557 39646184 quake 2020-10-01T13:28:15.010000Z
1687563 38696903 quake 2019-08-05T21:22:03.120000Z
1668911 38675855 quake 2019-07-31T10:58:49.670000Z
1430229 38388090 quake 2020-03-09T02:47:10.490000Z
1818433 39102768 quake 2019-10-01T01:15:27.810000Z
1888542 39226088 quake 2019-12-11T08:08:43.690000Z
1561840 38562823 quake 2019-07-14T02:49:52.220000Z
1488007 38478479 quake 2019-07-07T18:25:52.210000Z
1517742 38509543 quake 2019-07-10T00:37:51.370000Z
1577328 38586063 quake 2019-07-17T05:49:52.200000Z
1552793 38552823 quake 2019-07-12T22:14:28.110000Z
1670001 38677290 quake 2020-09-05T13:27:39.070000Z
1700698 38820591 quake 2019-09-09T03:04:41.210000Z
1379424 38247970 quake 2019-11-16T23:52:33.700000Z
1571968 38577303 quake 2019-07-16T00:50:22.040000Z
1819184 39104368 quake 2019-10-01T19:06:11.890000Z
1524218 38519223 quake 2019-07-10T15:01:56.140000Z
1564525 38566503 quake 2019-07-14T14:33:38.930000Z
1595604 38601026 quake 2020-07-21T16:29:35.140000Z
1766240 39008831 quake 2019-12-21T18:11:42.840000Z
1571539 38576447 quake 2019-07-15T21:50:40.930000Z
1661346 38660511 quake 2019-07-28T11:27:23.480000Z
1559644 38559599 quake 2019-07-13T15:35:04.160000Z
1492704 38482103 quake 2019-07-08T02:35:03.430000Z
1988377 39481527 quake 2020-12-01T04:46:26.800000Z
1489800 38479911 quake 2019-07-07T21:05:16.710000Z
1754014 38990944 quake 2019-08-21T05:56:06.480000Z
1629991 38625535 quake 2019-07-22T19:22:57.700000Z
1758600 38999480 quake 2019-08-23T06:01:59.270000Z
1935317 39348623 quake 2020-08-17T23:53:16.150000Z
1436637 38393818 quake 2020-03-14T12:20:00.390000Z
1834041 39122351 quake 2020-03-31T13:50:02.850000Z
1761721 39005000 quake 2019-08-24T14:22:55.430000Z
1540024 38541351 quake 2019-07-12T03:26:23.510000Z
1709564 38839087 quake 2019-09-16T05:05:22.610000Z
1389825 38254882 quake 2019-11-21T03:36:57.340000Z
1832768 39120911 quake 2020-03-30T11:21:19.720000Z
1910688 39284936 quake 2020-01-28T14:22:51.120000Z
1726031 38926031 quake 2019-11-01T09:04:39.810000Z
2016637 39649336 quake 2020-10-02T08:10:21.900000Z
1724463 38922103 quake 2019-10-29T16:21:32.590000Z
1685219 38694655 quake 2019-08-05T08:39:35.650000Z
1629986 38625535 quake 2019-07-22T19:22:57.700000Z
1586470 38594479 quake 2019-07-18T06:33:56.870000Z
1707119 38834447 quake 2019-09-14T00:28:33.690000Z
1497979 38486071 quake 2019-07-08T11:24:23.540000Z
1518159 38510135 quake 2019-07-10T01:28:06.280000Z
1534251 38533639 quake 2019-07-11T14:32:35.060000Z
1501499 38488623 quake 2019-07-08T15:51:40.010000Z
1935200 39348183 quake 2020-08-17T20:04:51.180000Z
1359089 38231746 quake 2019-11-08T13:24:48.580000Z
1780050 39021495 quake 2020-01-03T00:35:44.900000Z
1841682 39128720 quake 2019-10-13T04:12:38.770000Z
766358 37267164 quake 2019-07-17T02:29:32.470000Z
1501766 38488767 quake 2019-07-08T16:09:57.580000Z
1960766 39440799 quake 2020-10-22T00:27:23.060000Z
1485140 38476247 quake 2019-07-07T13:20:31.970000Z
2014643 39646256 quake 2020-10-01T13:53:30.760000Z
2003769 39502311 quake 2020-12-24T03:12:48.640000Z
1537949 38538711 quake 2019-07-11T23:18:43.870000Z
1524627 38519951 quake 2019-07-10T16:01:38.210000Z
2024942 39665472 quake 2020-10-16T18:28:00.610000Z
2015034 39647000 quake 2020-10-01T18:01:30.400000Z
